"model","prompt","data_view","valid_json"
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_basic.md","summary_only",0.8
"moonshotai/Kimi-K2.5","stim_paradigm_basic.md","summary_only",1
"Qwen/Qwen3.5-9B","stim_paradigm_basic.md","summary_only",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_anova.md","summary_only",0.733333333333333
"moonshotai/Kimi-K2.5","stim_paradigm_anova.md","summary_only",1
"Qwen/Qwen3.5-9B","stim_paradigm_anova.md","summary_only",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_predictive.md","summary_only",0.666666666666667
"moonshotai/Kimi-K2.5","stim_paradigm_predictive.md","summary_only",1
"Qwen/Qwen3.5-9B","stim_paradigm_predictive.md","summary_only",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_basic.md","stim_summary",0.866666666666667
"moonshotai/Kimi-K2.5","stim_paradigm_basic.md","stim_summary",1
"Qwen/Qwen3.5-9B","stim_paradigm_basic.md","stim_summary",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_anova.md","stim_summary",0.866666666666667
"moonshotai/Kimi-K2.5","stim_paradigm_anova.md","stim_summary",1
"Qwen/Qwen3.5-9B","stim_paradigm_anova.md","stim_summary",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_predictive.md","stim_summary",0.8
"moonshotai/Kimi-K2.5","stim_paradigm_predictive.md","stim_summary",1
"Qwen/Qwen3.5-9B","stim_paradigm_predictive.md","stim_summary",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_basic.md","stim_and_mouse_summary",0.866666666666667
"moonshotai/Kimi-K2.5","stim_paradigm_basic.md","stim_and_mouse_summary",1
"Qwen/Qwen3.5-9B","stim_paradigm_basic.md","stim_and_mouse_summary",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_anova.md","stim_and_mouse_summary",0.933333333333333
"moonshotai/Kimi-K2.5","stim_paradigm_anova.md","stim_and_mouse_summary",0.866666666666667
"Qwen/Qwen3.5-9B","stim_paradigm_anova.md","stim_and_mouse_summary",1
"deepseek-ai/DeepSeek-V3.1","stim_paradigm_predictive.md","stim_and_mouse_summary",0.866666666666667
"moonshotai/Kimi-K2.5","stim_paradigm_predictive.md","stim_and_mouse_summary",0.866666666666667
"Qwen/Qwen3.5-9B","stim_paradigm_predictive.md","stim_and_mouse_summary",1
