run_id,replication,randomized_position,factor_data_view,factor_model,factor_prompt_template,factor_temperature,data_view,inference_options.max_tokens,inference_options.reasoning.enabled,inference_options.temperature,model,prompt_template,settings_json
356,3,1,stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,stim_summary,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
234,2,2,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.0,stim_and_mouse_summary,1800,False,0.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
355,3,3,summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,summary_only,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
80,1,4,stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.75,stim_summary,1800,False,0.75,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
393,3,5,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.75,stim_and_mouse_summary,1800,False,0.75,Qwen/Qwen3.5-9B,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
402,3,6,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,stim_and_mouse_summary,1800,False,1.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
262,2,7,summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,1.0,summary_only,1800,False,1.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_basic.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
321,3,8,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.0,stim_and_mouse_summary,1800,False,0.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
292,3,9,summary_only,kimi,prompts/stim_paradigm_anova.md,0.5,summary_only,1800,False,0.5,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.5}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
345,3,10,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.75,stim_and_mouse_summary,1800,False,0.75,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
252,2,11,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.5,stim_and_mouse_summary,1800,False,0.5,Qwen/Qwen3.5-9B,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.5}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
291,3,12,stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,0.5,stim_and_mouse_summary,1800,False,0.5,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.5}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
178,2,13,summary_only,kimi,prompts/stim_paradigm_predictive.md,1.0,summary_only,1800,False,1.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_predictive.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
146,2,14,stim_summary,kimi,prompts/stim_paradigm_basic.md,0.25,stim_summary,1800,False,0.25,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
266,2,15,stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,stim_summary,1800,False,1.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
19,1,16,summary_only,kimi,prompts/stim_paradigm_basic.md,0.5,summary_only,1800,False,0.5,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.5}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
139,2,17,summary_only,kimi,prompts/stim_paradigm_anova.md,0.0,summary_only,1800,False,0.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
360,3,18,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,1.0,stim_and_mouse_summary,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
149,2,19,stim_summary,kimi,prompts/stim_paradigm_anova.md,0.25,stim_summary,1800,False,0.25,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
245,2,20,stim_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.5,stim_summary,1800,False,0.5,Qwen/Qwen3.5-9B,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.5}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
42,1,21,stim_and_mouse_summary,kimi,prompts/stim_paradigm_anova.md,1.0,stim_and_mouse_summary,1800,False,1.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
368,3,22,stim_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.0,stim_summary,1800,False,0.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
388,3,23,summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.75,summary_only,1800,False,0.75,Qwen/Qwen3.5-9B,prompts/stim_paradigm_basic.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
214,2,24,summary_only,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.75,summary_only,1800,False,0.75,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_predictive.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
222,2,25,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,stim_and_mouse_summary,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
39,1,26,stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,1.0,stim_and_mouse_summary,1800,False,1.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
276,3,27,stim_and_mouse_summary,kimi,prompts/stim_paradigm_anova.md,0.0,stim_and_mouse_summary,1800,False,0.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
49,1,28,summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.0,summary_only,1800,False,0.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
280,3,29,summary_only,kimi,prompts/stim_paradigm_basic.md,0.25,summary_only,1800,False,0.25,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
108,1,30,stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.25,stim_and_mouse_summary,1800,False,0.25,Qwen/Qwen3.5-9B,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
142,2,31,summary_only,kimi,prompts/stim_paradigm_predictive.md,0.0,summary_only,1800,False,0.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_predictive.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
174,2,32,stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,1.0,stim_and_mouse_summary,1800,False,1.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
29,1,33,stim_summary,kimi,prompts/stim_paradigm_basic.md,0.75,stim_summary,1800,False,0.75,moonshotai/Kimi-K2.5,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.75}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
329,3,34,stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.25,stim_summary,1800,False,0.25,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
58,1,35,summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.25,summary_only,1800,False,0.25,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_anova.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_anova.md""}"
226,2,36,summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.0,summary_only,1800,False,0.0,Qwen/Qwen3.5-9B,prompts/stim_paradigm_basic.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.0}, ""model"": ""Qwen/Qwen3.5-9B"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
180,2,37,stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,1.0,stim_and_mouse_summary,1800,False,1.0,moonshotai/Kimi-K2.5,prompts/stim_paradigm_predictive.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""moonshotai/Kimi-K2.5"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
56,1,38,stim_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.25,stim_summary,1800,False,0.25,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
219,2,39,stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,1.0,stim_and_mouse_summary,1800,False,1.0,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_basic.md,"{""data_view"": ""stim_and_mouse_summary"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 1.0}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_basic.md""}"
61,1,40,summary_only,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.25,summary_only,1800,False,0.25,deepseek-ai/DeepSeek-V3.1,prompts/stim_paradigm_predictive.md,"{""data_view"": ""summary_only"", ""inference_options"": {""max_tokens"": 1800, ""reasoning"": {""enabled"": false}, ""temperature"": 0.25}, ""model"": ""deepseek-ai/DeepSeek-V3.1"", ""prompt_template"": ""prompts/stim_paradigm_predictive.md""}"
